input_data,output_labels
"[[796.00032, 694.9999799999999, 833.0006400000001, 694.9999799999999, 833.0006400000001, 734.9999399999999, 796.00032, 734.9999399999999], [685.00032, 578.99934, 829.0003199999999, 578.99934, 829.0003199999999, 919.9996199999999, 685.00032, 919.9996199999999], [681.9993599999999, 568.99962, 828.0, 568.99962, 828.0, 854.99982, 681.9993599999999, 854.99982], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(681.9993599999999, 568.99962, 833.0006400000001, 568.99962, 833.0006400000001, 919.9996199999999, 681.9993599999999, 919.9996199999999)"
"[[698.00064, 653.0004, 847.00032, 653.0004, 847.00032, 943.99992, 698.00064, 943.99992], [620.00064, 600.0004799999999, 713.9999999999999, 600.0004799999999, 713.9999999999999, 788.0004, 620.00064, 788.0004], [778.99872, 563.9997599999999, 834.99936, 563.9997599999999, 834.99936, 697.99968, 778.99872, 697.99968], [685.00032, 578.99934, 829.0003199999999, 578.99934, 829.0003199999999, 919.9996199999999, 685.00032, 919.9996199999999], [681.9993599999999, 568.99962, 828.0, 568.99962, 828.0, 854.99982, 681.9993599999999, 854.99982], [822.99936, 568.00008, 953.99904, 568.00008, 953.99904, 806.9997599999999, 822.99936, 806.9997599999999]]","(620.00064, 563.9997599999999, 953.99904, 563.9997599999999, 953.99904, 943.99992, 620.00064, 943.99992)"
"[[840.0, 686.99988, 921.9993599999999, 686.99988, 921.9993599999999, 824.0000399999999, 840.0, 824.0000399999999], [822.99936, 568.00008, 953.99904, 568.00008, 953.99904, 806.9997599999999, 822.99936, 806.9997599999999], [823.0003200000001, 576.00018, 936.0, 576.00018, 936.0, 782.0004600000001, 823.0003200000001, 782.0004600000001], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(822.99936, 568.00008, 953.99904, 568.00008, 953.99904, 824.0000399999999, 822.99936, 824.0000399999999)"
"[[1735.99968, 625.00032, 1919.9990400000002, 625.00032, 1919.9990400000002, 898.00056, 1735.99968, 898.00056], [1761.99936, 542.9997, 1920.0, 542.9997, 1920.0, 833.0002199999999, 1761.99936, 833.0002199999999], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(1735.99968, 542.9997, 1920.0, 542.9997, 1920.0, 898.00056, 1735.99968, 898.00056)"
"[[991.9996799999999, 412.00002, 1036.00032, 412.00002, 1036.00032, 453.00006, 991.9996799999999, 453.00006], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(2000, 2000, 0, 2000, 0, 0, 2000, 0)"
"[[941.99904, 412.00002, 1002.99936, 412.00002, 1002.99936, 458.00046000000003, 941.99904, 458.00046000000003], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(2000, 2000, 0, 2000, 0, 0, 2000, 0)"
"[[632.9990399999999, 638.99982, 1208.99904, 638.99982, 1208.99904, 1079.99946, 632.9990399999999, 1079.99946], [853.0003200000001, 471.00042, 1143.0009599999998, 471.00042, 1143.0009599999998, 1080.00054, 853.0003200000001, 1080.00054], [501.00096, 399.00006, 679.00032, 399.00006, 679.00032, 928.00026, 501.00096, 928.00026], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(501.00096, 399.00006, 1208.99904, 399.00006, 1208.99904, 1080.00054, 501.00096, 1080.00054)"
"[[285.99936, 545.0003999999999, 868.99968, 545.0003999999999, 868.99968, 1080.0, 285.99936, 1080.0], [501.00096, 399.00006, 679.00032, 399.00006, 679.00032, 928.00026, 501.00096, 928.00026], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(285.99936, 399.00006, 868.99968, 399.00006, 868.99968, 1080.0, 285.99936, 1080.0)"
"[[1.0003199999999879, 589.00014, 404.00064, 589.00014, 404.00064, 1006.0000200000001, 1.0003199999999879, 1006.0000200000001], [34.999680000000005, 439.99956000000003, 222.0, 439.99956000000003, 222.0, 1010.99988, 34.999680000000005, 1010.99988], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(1.0003199999999879, 439.99956000000003, 404.00064, 439.99956000000003, 404.00064, 1010.99988, 1.0003199999999879, 1010.99988)"
"[[610.00032, 599.0003999999999, 1273.00128, 599.0003999999999, 1273.00128, 1080.0, 610.00032, 1080.0], [802.9996799999999, 413.0001000000001, 1105.99872, 413.0001000000001, 1105.99872, 1079.0004600000002, 802.9996799999999, 1079.0004600000002], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(610.00032, 413.0001000000001, 1273.00128, 413.0001000000001, 1273.00128, 1080.0, 610.00032, 1080.0)"
"[[965.0006399999997, 675.0, 1065.0, 675.0, 1065.0, 887.99976, 965.0006399999997, 887.99976], [811.00032, 598.00032, 1029.00096, 598.00032, 1029.00096, 1077.99984, 811.00032, 1077.99984], [961.00128, 601.00002, 1078.0003199999999, 601.00002, 1078.0003199999999, 853.99974, 961.00128, 853.99974], [1048.00032, 619.0003800000001, 1219.00128, 619.0003800000001, 1219.00128, 1067.00058, 1048.00032, 1067.00058], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(811.00032, 598.00032, 1219.00128, 598.00032, 1219.00128, 1077.99984, 811.00032, 1077.99984)"
"[[224.99904000000004, 731.00016, 500.9990399999999, 731.00016, 500.9990399999999, 1080.0, 224.99904000000004, 1080.0], [464.99904, 640.99998, 644.9990399999999, 640.99998, 644.9990399999999, 1079.99946, 464.99904, 1079.99946], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(224.99904000000004, 640.99998, 644.9990399999999, 640.99998, 644.9990399999999, 1080.0, 224.99904000000004, 1080.0)"
"[[458.0006400000001, 733.00032, 799.00032, 733.00032, 799.00032, 1080.0, 458.0006400000001, 1080.0], [602.0006400000001, 623.0001599999999, 775.00032, 623.0001599999999, 775.00032, 1057.00032, 602.0006400000001, 1057.00032], [464.99904, 640.99998, 644.9990399999999, 640.99998, 644.9990399999999, 1079.99946, 464.99904, 1079.99946], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(458.0006400000001, 623.0001599999999, 799.00032, 623.0001599999999, 799.00032, 1080.0, 458.0006400000001, 1080.0)"
"[[788.0006400000001, 763.00002, 1102.00128, 763.00002, 1102.00128, 1080.00054, 788.0006400000001, 1080.00054], [811.00032, 598.00032, 1029.00096, 598.00032, 1029.00096, 1077.99984, 811.00032, 1077.99984], [961.00128, 601.00002, 1078.0003199999999, 601.00002, 1078.0003199999999, 853.99974, 961.00128, 853.99974], [1048.00032, 619.0003800000001, 1219.00128, 619.0003800000001, 1219.00128, 1067.00058, 1048.00032, 1067.00058], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(788.0006400000001, 598.00032, 1219.00128, 598.00032, 1219.00128, 1080.00054, 788.0006400000001, 1080.00054)"
"[[1053.0, 786.0002400000001, 1392.00096, 786.0002400000001, 1392.00096, 1077.99984, 1053.0, 1077.99984], [1048.00032, 619.0003800000001, 1219.00128, 619.0003800000001, 1219.00128, 1067.00058, 1048.00032, 1067.00058], [1165.99968, 636.9996600000001, 1359.0000000000002, 636.9996600000001, 1359.0000000000002, 1079.99946, 1165.99968, 1079.99946], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(1048.00032, 619.0003800000001, 1392.00096, 619.0003800000001, 1392.00096, 1079.99946, 1048.00032, 1079.99946)"
"[[1444.0003199999999, 895.00032, 1815.0, 895.00032, 1815.0, 1078.99992, 1444.0003199999999, 1078.99992], [1641.99936, 588.9995999999999, 1917.99936, 588.9995999999999, 1917.99936, 1080.0, 1641.99936, 1080.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(1444.0003199999999, 588.9995999999999, 1917.99936, 588.9995999999999, 1917.99936, 1080.0, 1444.0003199999999, 1080.0)"
"[[564.99936, 785.00016, 913.99968, 785.00016, 913.99968, 1078.99992, 564.99936, 1078.99992], [606.9993599999999, 663.9996600000001, 811.99968, 663.9996600000001, 811.99968, 1079.99946, 606.9993599999999, 1079.99946], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(564.99936, 663.9996600000001, 913.99968, 663.9996600000001, 913.99968, 1079.99946, 564.99936, 1079.99946)"
"[[1053.9993599999998, 761.99994, 1334.9990400000002, 761.99994, 1334.9990400000002, 1078.0003800000002, 1053.9993599999998, 1078.0003800000002], [1106.00064, 638.99982, 1269.00096, 638.99982, 1269.00096, 1079.99946, 1106.00064, 1079.99946], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(1053.9993599999998, 638.99982, 1334.9990400000002, 638.99982, 1334.9990400000002, 1079.99946, 1053.9993599999998, 1079.99946)"
"[[1447.9996800000001, 836.9999999999999, 1917.0, 836.9999999999999, 1917.0, 1078.99992, 1447.9996800000001, 1078.99992], [1611.99936, 609.99966, 1844.99904, 609.99966, 1844.99904, 1079.99946, 1611.99936, 1079.99946], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(1447.9996800000001, 609.99966, 1917.0, 609.99966, 1917.0, 1079.99946, 1447.9996800000001, 1079.99946)"
"[[774.00096, 747.99936, 1133.00064, 747.99936, 1133.00064, 1076.99976, 774.00096, 1076.99976], [514.00032, 497.00034000000005, 1093.99968, 497.00034000000005, 1093.99968, 1078.00038, 514.00032, 1078.00038], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(514.00032, 497.00034000000005, 1133.00064, 497.00034000000005, 1133.00064, 1078.00038, 514.00032, 1078.00038)"
"[[244.00032000000004, 751.99968, 605.00064, 751.99968, 605.00064, 1020.9996000000001, 244.00032000000004, 1020.9996000000001], [343.00032000000004, 577.00026, 592.00128, 577.00026, 592.00128, 1001.0006999999999, 343.00032000000004, 1001.0006999999999], [1.0003200000000145, 611.99982, 478.00127999999995, 611.99982, 478.00127999999995, 1079.99946, 1.0003200000000145, 1079.99946], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(1.0003200000000145, 577.00026, 605.00064, 577.00026, 605.00064, 1079.99946, 1.0003200000000145, 1079.99946)"
"[[1.0012799999999622, 806.99976, 653.0006400000001, 806.99976, 653.0006400000001, 1080.0, 1.0012799999999622, 1080.0], [343.00032000000004, 577.00026, 592.00128, 577.00026, 592.00128, 1001.0006999999999, 343.00032000000004, 1001.0006999999999], [1.0003200000000145, 611.99982, 478.00127999999995, 611.99982, 478.00127999999995, 1079.99946, 1.0003200000000145, 1079.99946], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(1.0003200000000145, 577.00026, 653.0006400000001, 577.00026, 653.0006400000001, 1080.0, 1.0003200000000145, 1080.0)"
"[[916.99968, 493.00002, 960.0, 493.00002, 960.0, 554.9995799999999, 916.99968, 554.9995799999999], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(2000, 2000, 0, 2000, 0, 0, 2000, 0)"
"[[1390.99968, 635.00058, 1854.0000000000002, 635.00058, 1854.0000000000002, 1077.0003, 1390.99968, 1077.0003], [1404.99936, 491.0004, 1732.99872, 491.0004, 1732.99872, 1002.00024, 1404.99936, 1002.00024], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(1390.99968, 491.0004, 1854.0000000000002, 491.0004, 1854.0000000000002, 1077.0003, 1390.99968, 1077.0003)"
"[[1520.99904, 454.00014000000004, 1654.9996800000001, 454.00014000000004, 1654.9996800000001, 545.99994, 1520.99904, 545.99994], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(2000, 2000, 0, 2000, 0, 0, 2000, 0)"
"[[1357.00032, 526.0005, 1417.00032, 526.0005, 1417.00032, 615.0000599999998, 1357.00032, 615.0000599999998], [1361.00064, 454.00014, 1434.00096, 454.00014, 1434.00096, 577.00026, 1361.00064, 577.00026], [1403.00064, 462.99978000000004, 1529.0006400000002, 462.99978000000004, 1529.0006400000002, 633.9994200000001, 1403.00064, 633.9994200000001], [1236.9993600000003, 553.0005, 1465.99968, 553.0005, 1465.99968, 1080.00054, 1236.9993600000003, 1080.00054], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(1236.9993600000003, 454.00014, 1529.0006400000002, 454.00014, 1529.0006400000002, 1080.00054, 1236.9993600000003, 1080.00054)"
"[[1391.00064, 531.9999, 1553.00064, 531.9999, 1553.00064, 755.9994600000001, 1391.00064, 755.9994600000001], [1361.00064, 454.00014, 1434.00096, 454.00014, 1434.00096, 577.00026, 1361.00064, 577.00026], [1422.0, 459.0, 1527.00096, 459.0, 1527.00096, 614.99952, 1422.0, 614.99952], [1403.00064, 462.99978000000004, 1529.0006400000002, 462.99978000000004, 1529.0006400000002, 633.9994200000001, 1403.00064, 633.9994200000001], [1236.9993600000003, 553.0005, 1465.99968, 553.0005, 1465.99968, 1080.00054, 1236.9993600000003, 1080.00054], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(1236.9993600000003, 454.00014, 1553.00064, 454.00014, 1553.00064, 1080.00054, 1236.9993600000003, 1080.00054)"
"[[1214.0006400000002, 668.9995200000001, 1588.99968, 668.9995200000001, 1588.99968, 1080.0, 1214.0006400000002, 1080.0], [1236.9993600000003, 553.0005, 1465.99968, 553.0005, 1465.99968, 1080.00054, 1236.9993600000003, 1080.00054], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(1214.0006400000002, 553.0005, 1588.99968, 553.0005, 1588.99968, 1080.00054, 1214.0006400000002, 1080.00054)"
"[[844.9987199999999, 464.99994000000004, 883.99968, 464.99994000000004, 883.99968, 527.99958, 844.9987199999999, 527.99958], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(2000, 2000, 0, 2000, 0, 0, 2000, 0)"
"[[1223.99904, 463.99932000000007, 1332.9993599999998, 463.99932000000007, 1332.9993599999998, 631.9998, 1223.99904, 631.9998], [1234.00032, 412.00002, 1321.9996800000001, 412.00002, 1321.9996800000001, 594.00054, 1234.00032, 594.00054], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(1223.99904, 412.00002, 1332.9993599999998, 412.00002, 1332.9993599999998, 631.9998, 1223.99904, 631.9998)"
"[[499.99968, 441.99971999999997, 558.99936, 441.99971999999997, 558.99936, 552.99996, 499.99968, 552.99996], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(2000, 2000, 0, 2000, 0, 0, 2000, 0)"
"[[627.99936, 484.00038, 711.9993599999999, 484.00038, 711.9993599999999, 607.0005, 627.99936, 607.0005], [622.9996799999999, 423.9999, 709.00032, 423.9999, 709.00032, 569.9997, 622.9996799999999, 569.9997], [662.0006400000001, 424.00043999999997, 955.00032, 424.00043999999997, 955.00032, 987.0001199999999, 662.0006400000001, 987.0001199999999], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(622.9996799999999, 423.9999, 955.00032, 423.9999, 955.00032, 987.0001199999999, 622.9996799999999, 987.0001199999999)"
"[[1707.0, 581.00058, 1919.9990400000002, 581.00058, 1919.9990400000002, 968.00022, 1707.0, 968.00022], [1816.00032, 434.00016, 1920.00096, 434.00016, 1920.00096, 952.00056, 1816.00032, 952.00056], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(1707.0, 434.00016, 1920.00096, 434.00016, 1920.00096, 968.00022, 1707.0, 968.00022)"
"[[649.0012800000001, 600.0004799999999, 970.0003200000001, 600.0004799999999, 970.0003200000001, 1080.0, 649.0012800000001, 1080.0], [662.0006400000001, 424.00043999999997, 955.00032, 424.00043999999997, 955.00032, 987.0001199999999, 662.0006400000001, 987.0001199999999], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(649.0012800000001, 424.00043999999997, 970.0003200000001, 424.00043999999997, 970.0003200000001, 1080.0, 649.0012800000001, 1080.0)"
"[[622.00128, 585.9999, 716.0006400000001, 585.9999, 716.0006400000001, 652.9998599999999, 622.00128, 652.9998599999999], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(2000, 2000, 0, 2000, 0, 0, 2000, 0)"
"[[0.0, 627.0004799999999, 38.000640000000004, 627.0004799999999, 38.000640000000004, 704.0001599999999, 0.0, 704.0001599999999], [1.0012799999999955, 581.99958, 65.00063999999999, 581.99958, 65.00063999999999, 700.99938, 1.0012799999999955, 700.99938], [1.0003200000000012, 572.0004, 222.0, 572.0004, 222.0, 1080.0, 1.0003200000000012, 1080.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(0.0, 572.0004, 222.0, 572.0004, 222.0, 1080.0, 0.0, 1080.0)"
"[[1.0003200000000145, 842.99994, 354.0, 842.99994, 354.0, 1078.00038, 1.0003200000000145, 1078.00038], [1.0003200000000012, 572.0004, 222.0, 572.0004, 222.0, 1080.0, 1.0003200000000012, 1080.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(1.0003200000000012, 572.0004, 354.0, 572.0004, 354.0, 1080.0, 1.0003200000000012, 1080.0)"
"[[1573.0003199999999, 815.0003999999999, 1916.0006400000002, 815.0003999999999, 1916.0006400000002, 1080.0, 1573.0003199999999, 1080.0], [1749.0, 545.0003999999999, 1920.00096, 545.0003999999999, 1920.00096, 1080.0, 1749.0, 1080.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(1573.0003199999999, 545.0003999999999, 1920.00096, 545.0003999999999, 1920.00096, 1080.0, 1573.0003199999999, 1080.0)"
"[[906.9993599999999, 680.99994, 972.99936, 680.99994, 972.99936, 800.99982, 906.9993599999999, 800.99982], [904.99968, 577.00026, 979.9987199999999, 577.00026, 979.9987199999999, 751.00014, 904.99968, 751.00014], [948.0, 576.99972, 1034.00064, 576.99972, 1034.00064, 745.0002000000001, 948.0, 745.0002000000001], [940.99968, 577.00026, 1092.0, 577.00026, 1092.0, 827.99982, 940.99968, 827.99982], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(904.99968, 576.99972, 1092.0, 576.99972, 1092.0, 827.99982, 904.99968, 827.99982)"
"[[1082.9990400000002, 646.9993800000001, 1168.99968, 646.9993800000001, 1168.99968, 801.9999, 1082.9990400000002, 801.9999], [1090.00032, 592.0003800000001, 1173.0, 592.0003800000001, 1173.0, 707.99994, 1090.00032, 707.99994], [1122.0, 586.99998, 1273.0003199999999, 586.99998, 1273.0003199999999, 871.0000200000001, 1122.0, 871.0000200000001], [940.99968, 577.00026, 1092.0, 577.00026, 1092.0, 827.99982, 940.99968, 827.99982], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(940.99968, 577.00026, 1273.0003199999999, 577.00026, 1273.0003199999999, 871.0000200000001, 940.99968, 871.0000200000001)"
